10001,38
10002,5
10003,48
10004,8
10005,25
10006,6
10007,16
10009,15
10010,32
10011,31
10013,49
10014,13
10015,21
10018,12
10021,35
10023,48
10025,26
10027,24
10029,19
10032,47
10033,36
10034,23
10035,29
10037,5
10038,23
10039,6
10041,18
10043,8
10045,13
10047,2
10048,25
10050,40
10052,43
10053,29
10056,2
10058,44
10060,20
10061,18
10063,5
10064,34
10065,18
10066,4
10067,41
10068,29
10069,24
10070,44
10071,9
10072,15
10074,41
10075,34
10076,21
10077,15
10078,33
10079,34
10080,14
10081,1
10082,2
10083,34
10086,32
10087,30
10088,23
10089,48
10090,1
10092,4
10094,38
10095,11
10096,33
10097,28
10098,19
10099,8
10100,49
10103,30
10104,43
10106,43
10108,9
10110,21
10111,42
10112,44
10113,41
10115,35
10116,5
10117,11
10118,10
10119,29
10121,38
10125,17
10126,13
10127,39
10128,43
10129,46
10130,8
10133,23
10134,36
10135,6
10136,10
10137,29
10138,15
10143,26
10144,11
10144,35
10145,1
10145,26
10146,47
10147,41
10149,4
10150,25
10151,22
10152,7
10153,42
10154,24
10155,26
10156,19
10157,9
10158,37
10160,16
10160,29
10161,20
10163,41
10164,43
10165,11
10168,24
10170,5
10171,45
10174,37
10175,44
10178,33
10179,37
10180,48
10181,26
10182,39
10184,2
10185,4
10186,6
10188,49
10189,13
10190,3
10191,8
10192,37
10194,10
10195,14
10198,32
10200,12
10201,47
10203,32
10204,38
10206,6
10211,4
10212,41
10214,9
10215,29
10216,17
10217,37
10221,43
10222,46
10223,31
10224,28
10225,26
10226,28
10229,48
10233,4
10234,45
10237,2
10238,37
10241,11
10242,21
10243,6
10244,1
10245,37
10246,35
10252,32
10253,10
10254,39
10256,44
10257,39
10258,40
10259,5
10265,2
10266,43
10268,17
10269,36
10270,46
10271,7
10272,44
10273,32
10275,24
10276,36
10277,40
10280,26
10282,38
10283,16
10286,35
10289,42
10291,22
10292,7
10295,6
10296,6
10297,49
10299,41
10301,49
10302,46
10303,37
10305,42
10309,28
10310,49
10312,19
10312,20
10314,37
10315,3
10316,37
10317,3
10318,35
10319,31
10320,13
10322,3
10324,31
10325,45
10326,6
10327,15
10329,48
10330,13
10331,48
10332,12
10338,27
10339,17
10340,49
10341,32
10342,19
10346,2
10347,15
10350,19
10351,30
10353,44
10355,1
10356,45
10361,26
10362,13
10363,31
10364,20
10365,11
10369,23
10371,25
10372,45
10376,47
10377,42
10378,31
10380,26
10382,25
10384,18
10386,43
10387,21
10390,36
10391,46
10393,6
10395,10
10396,7
10398,14
10399,41
10402,16
10404,16
10405,39
10406,28
10407,13
10407,25
10411,37
10412,29
10412,49
10413,17
10414,11
